,ID,img_link,Name,price,region,description,use,gearbox,mileage,town,Region,Year_of_manufacture,CC
0,0,https://pictures-kenya.jijistatic.com/31819861_MzAwLTIyNS03YWJjOTRlYzIz.webp,Mazda Axela 2014 SV Premium White,1450000," Nairobi, Runda","2014 Mazda Axela1500ccAutomaticPetrol Steering controls Fog lights1,450,000/=",Foreign Used,Automatic,0, Runda, Nairobi,2014,1500cc
1,1,https://pictures-kenya.jijistatic.com/28723044_MzAwLTMwMC1mNzI4YWFiZWM0.webp,Mazda Axela 2010 White,795000," Nairobi, Donholm",Original paint Totally accident free. clean neat and smart interior. Tip top suspensionbuy and...,Kenyan Used,Automatic,0, Donholm, Nairobi,2010,Not specified
2,2,https://pictures-kenya.jijistatic.com/32300400_MzAwLTIyNS0yODZmOTRiOGJm.webp,Mazda Axela 2015 Gray,1600000," Mombasa, Mombasa CBD","Manual trans,fully loaded",Foreign Used,Manual,85000, Mombasa CBD, Mombasa,2015,Not specified
3,3,https://pictures-kenya.jijistatic.com/34488388_MzAwLTQwMC1hZWRiMzQxMTZj.webp,Mazda Axela 2013 Gray,820000," Nairobi, Kasarani",Mazda Axela Yom 2013Mileage116k1500ccAutomatic transmission ,Kenyan Used,Automatic,95000, Kasarani, Nairobi,2013,1500cc
4,4,https://pictures-kenya.jijistatic.com/32841183_MzAwLTIyNS1lM2E3NmJlOWMw.webp,Mazda Axela SV Premium 2014 White,1300000," Nairobi, Kasarani","Mazda Axela 2014,Diesel Turbo charged Engine,2200CC, Sunroof,Bose Music System, Seat Heaters,Rear...",Kenyan Used,Automatic,0, Kasarani, Nairobi,2014,2200CC
5,5,https://pictures-kenya.jijistatic.com/30622829_MzAwLTIyNS03NjE5NGJkMzcx.webp,Mazda Axela 2014 SV Premium Gray,1350000," Mombasa, Mombasa CBD",1500 ccautomatic transmissiondark grey exterior colour,Foreign Used,Automatic,95000, Mombasa CBD, Mombasa,2014,Not specified
6,6,https://pictures-kenya.jijistatic.com/31721686_MzAwLTIyNS1lY2I2Y2ViYWJh.webp,Mazda Axela 2014 SV Premium White,1380000," Mombasa, Mombasa CBD",Pearl white exteriordiesel engine 5 seatercomfy interior dark seatshire purchase accepted bank...,Foreign Used,Automatic,0, Mombasa CBD, Mombasa,2014,Not specified
7,7,https://pictures-kenya.jijistatic.com/19510810_MzAwLTIzNi0yNmIzZDdhMGZk.webp,Mazda Axela 2014 Brown,1400000," Mombasa, Ganjoni",Mazda axela gold in colourunregistered cash 1.4fully loaded call mombasa,Foreign Used,Automatic,89653, Ganjoni, Mombasa,2014,Not specified
8,8,https://pictures-kenya.jijistatic.com/19517315_MzAwLTMwMC03NDk4OWZlN2Qz.webp,Mazda Axela 2014 Blue,1400000," Mombasa, Ganjoni",Best deal of mazda axela 2014new number we accept both cash and hire purchase  call me mombasa,Foreign Used,Automatic,56324, Ganjoni, Mombasa,2014,Not specified
9,9,https://pictures-kenya.jijistatic.com/27708003_MzAwLTIyNS0wZjVmNzI5YThm.webp,Mazda Axela 2014 SV Premium Red,1400000," Mombasa, Mombasa CBD",Mazda axela 20145 seater fogsalloys new shape,Foreign Used,Automatic,88000, Mombasa CBD, Mombasa,2014,Not specified
10,10,https://pictures-kenya.jijistatic.com/34773495_MzAwLTIyNS0wMjgxNDY3OTFh.webp,Mazda Axela SV Premium 2014 Gray,1800000," Kiambu, Kiambu / Kiambu ",Brand NewMazda Axela2014 Model 1800 cc,Kenyan Used,Automatic,0, Kiambu / Kiambu , Kiambu,2014,Not specified
11,11,https://pictures-kenya.jijistatic.com/32066627_MzAwLTMwMC1mNDY2MWYwNWUw.webp,Mazda Axela 2014 SV Premium Red,1600000," Kiambu, Kiambu / Kiambu ",Fully loaded 2014 axela 2000cc petrol engine,Foreign Used,Automatic,0, Kiambu / Kiambu , Kiambu,2014,2000cc
12,12,https://pictures-kenya.jijistatic.com/32600654_MzAwLTIyNS01YjNkYTNiMTIx.webp,Mazda Axela 2015 Blue,1590000," Nairobi, Kilimani",axela petrol sedan saloon 2015 57km mint condition,Foreign Used,Automatic,57000, Kilimani, Nairobi,2015,Not specified
13,13,https://pictures-kenya.jijistatic.com/22464096_MzAwLTQwMS02NmY1N2U1YzVj.webp,Mazda Axela 2015 Red,1370000," Mombasa, Ganjoni",Hot red fully loaded axela with dash cameras all over.it has dark interior where its very clean....,Foreign Used,Automatic,49881, Ganjoni, Mombasa,2015,Not specified
14,14,https://pictures-kenya.jijistatic.com/19178860_MzAwLTIyNS1lNWEwMDkyOWY3.webp,Mazda Axela 2014 Blue,1450000," Mombasa, Ganjoni",Axela 2014cash 1.4new number kdc we accept cashhire purchase bank financesacco finance total...,Foreign Used,Automatic,56332, Ganjoni, Mombasa,2014,Not specified
15,15,https://pictures-kenya.jijistatic.com/32165157_MzAwLTIyNS04ZjU1YmU2ZTIy.webp,Mazda Axela 2015 Red,1500000," Mombasa, Mvita","Clean mazda axela on sale.price ksh 1.5mcash,hire purchase,tradein or bank financing...",Foreign Used,Automatic,63125, Mvita, Mombasa,2015,Not specified
16,16,https://pictures-kenya.jijistatic.com/27008606_MzAwLTI0MC05NWRhZGM5MjVm.webp,Mazda Axela 2014 SV Premium White,1340000," Mombasa, Mombasa CBD",Mazda axelahatchback1500cc,Foreign Used,Automatic,68000, Mombasa CBD, Mombasa,2014,1500cc
17,17,https://pictures-kenya.jijistatic.com/22681692_MzAwLTIyNS00ZGQzOTg4MjIy.webp,Mazda Axela 2014 Black,1380000," Mombasa, Mombasa CBD",Axela2014new number kddlow milagealloysnew tyres,Foreign Used,Automatic,60774, Mombasa CBD, Mombasa,2014,Not specified
18,18,https://pictures-kenya.jijistatic.com/28102215_MzAwLTQ1NS0yYTVkNmMwM2Yw.webp,Mazda Axela 2014 SV Premium Red,1500000," Mombasa, Mombasa CBD","Mazda axela, saloon,1500cc,petrol,redwine colour,Fully loaded",Foreign Used,Automatic,136000, Mombasa CBD, Mombasa,2014,1500cc
19,19,https://pictures-kenya.jijistatic.com/28180218_MzAwLTIyNS0xMDA2NTAxYmEy.webp,Mazda Axela SV Premium 2014 Pearl,1500000," Nairobi, Kilimani",Mazda axela20141490cc,Foreign Used,Automatic,0, Kilimani, Nairobi,2014,1490cc
